TIMESTAMP,Obs_3hr,rated_3hr,nowcast_3hr,dayahead_3hr
23-Apr-2017 06:00:00,21.0008333333333,811.2,39.6925,52.7725
23-Apr-2017 09:00:00,0.241666666666667,811.2,0.479166666666667,12.1475
23-Apr-2017 12:00:00,0,811.2,3.25666666666667,6.33333333333333
23-Apr-2017 15:00:00,0.1625,811.2,4.17416666666667,11.6241666666667
23-Apr-2017 18:00:00,22.3533333333333,811.2,29.9216666666667,47.7316666666667
23-Apr-2017 21:00:00,126.8325,811.2,138.61,129.754166666667
24-Apr-2017 00:00:00,239.654166666667,811.2,282.213333333333,248.959166666667
24-Apr-2017 03:00:00,377.943333333333,811.2,383.54,363.4225
24-Apr-2017 06:00:00,243.740833333333,811.2,394.323333333333,385.045833333333
24-Apr-2017 09:00:00,246.455,811.2,241.375833333333,304.5975
24-Apr-2017 12:00:00,243.599166666667,811.2,243.599166666667,285.861666666667
24-Apr-2017 15:00:00,339.2425,811.2,285.785,356.98
24-Apr-2017 18:00:00,161.165,811.2,224.038333333333,289.411666666667
24-Apr-2017 21:00:00,476.671666666667,811.2,369.705833333333,336.558333333333
25-Apr-2017 00:00:00,698.130833333333,811.2,500.659166666667,521.54
25-Apr-2017 03:00:00,709.6575,811.2,670.341666666667,586.490833333333
25-Apr-2017 06:00:00,664.6625,811.2,652.709166666667,527.109166666667
25-Apr-2017 09:00:00,319.308333333333,811.2,384.995,404.37
25-Apr-2017 12:00:00,230.758333333333,811.2,186.4875,249.246666666667
25-Apr-2017 15:00:00,146.141666666667,811.2,139.743333333333,193.489166666667
25-Apr-2017 18:00:00,359.21,811.2,245.9225,224.003333333333
25-Apr-2017 21:00:00,317.909166666667,811.2,241.565,270.305
26-Apr-2017 00:00:00,303.470833333333,811.2,201.790833333333,274.016666666667
26-Apr-2017 03:00:00,395.623333333333,811.2,244.315,226.683333333333
26-Apr-2017 06:00:00,294.4925,811.2,202.935833333333,148.3725
26-Apr-2017 09:00:00,274.028333333333,811.2,210.4625,159.158333333333
26-Apr-2017 12:00:00,321.890833333333,811.2,273.658333333333,287.741666666667
26-Apr-2017 15:00:00,321.5975,811.2,329.663333333333,396.915833333333
26-Apr-2017 18:00:00,337.175833333333,811.2,323.809166666667,405.664166666667
26-Apr-2017 21:00:00,245.19,811.2,175.180833333333,220.905
27-Apr-2017 00:00:00,197.6175,811.2,93.2175,108.006666666667
27-Apr-2017 03:00:00,183.14,811.2,126.849166666667,87.9308333333333
27-Apr-2017 06:00:00,132.365,811.2,132.135833333333,103.094166666667
27-Apr-2017 09:00:00,128.594166666667,811.2,86.1933333333333,77.46
27-Apr-2017 12:00:00,143.4375,811.2,119.2875,80.6575
27-Apr-2017 15:00:00,195.25,811.2,206.050833333333,122.660833333333
27-Apr-2017 18:00:00,186.531666666667,811.2,166.028333333333,103.3825
27-Apr-2017 21:00:00,182.511666666667,811.2,128.295,104.215833333333
28-Apr-2017 00:00:00,209.78,811.2,194.920833333333,200.6425
28-Apr-2017 03:00:00,227.730833333333,811.2,206.073333333333,234.960833333333
28-Apr-2017 06:00:00,140.888333333333,811.2,137.880833333333,167.340833333333
28-Apr-2017 09:00:00,162.116666666667,811.2,138.21,126.851666666667
28-Apr-2017 12:00:00,80.5091666666667,811.2,81.4725,97.37
28-Apr-2017 15:00:00,13.8991666666667,811.2,38.3883333333333,60.0375
28-Apr-2017 18:00:00,1.105,811.2,5.43416666666667,20.3525
28-Apr-2017 21:00:00,2.33666666666667,811.2,2.61166666666667,5.4425
29-Apr-2017 00:00:00,39.795,811.2,13.9825,14.2775
29-Apr-2017 03:00:00,32.3416666666667,811.2,46.14,42.1341666666667
29-Apr-2017 06:00:00,40.5016666666667,811.2,61.8483333333333,46.5966666666667
29-Apr-2017 09:00:00,14.89,811.2,20.3991666666667,22.8008333333333
29-Apr-2017 12:00:00,6.0725,811.2,16.8633333333333,19.5458333333333
